score_phrase,title,url,score,genre,release_year,release_month,release_day
Amazing,Halo 4 (Limited Edition),/games/halo-4/xbox-360-134637,9.8,Shooter,2012,11,1
Good,Zone of the Enders HD Collection,/games/zone-of-the-enders-hd-collection/ps3-110049,7,"Action, Compilation",2012,11,1
Great,Harvest Moon: A New Beginning,/games/harvest-moon-hajimari-no-daichi/3ds-120299,8.3,Adventure,2012,11,1
Good,Zone of the Enders HD Collection,/games/zone-of-the-enders-hd-collection/xbox-360-110060,7,"Action, Compilation",2012,11,1
Okay,Borderlands Legends,/games/borderlands-legends/iphone-145721,6.5,"Action, RPG",2012,10,31
Okay,Borderlands Legends,/games/borderlands-legends/ipad-145832,6.5,"Action, RPG",2012,10,31
Amazing,Okami HD,/games/okami/ps3-136378,9.4,Adventure,2012,10,30
Mediocre,Ragnarok Odyssey,/games/ragnarok-odyssey/vita-117348,5,RPG,2012,10,30
Okay,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/iphone-135825,6.9,"Racing, Action",2012,10,30
Good,Pid,/games/pid/xbox-360-124089,7.8,Platformer,2012,10,30
Good,Pid,/games/pid/pc-124085,7.8,Platformer,2012,10,30
Good,Pid,/games/pid/ps3-124088,7.8,Platformer,2012,10,30
Amazing,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/ps3-126560,9,"Racing, Action",2012,10,30
Great,Assassin's Creed III,/games/assassins-creed-iii/xbox-360-128701,8.5,"Action, Adventure",2012,10,30
Amazing,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/xbox-360-135486,9,"Racing, Action",2012,10,30
Good,Assassin's Creed III: Liberation,/games/assassins-creed-vita/vita-115670,7.2,Action,2012,10,30
Great,Smart As...,/games/smart-as-135038/vita-98920,8.5,"Educational, Puzzle",2012,10,30
Great,Assassin's Creed III,/games/assassins-creed-iii/ps3-128700,8.5,"Action, Adventure",2012,10,30
Amazing,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/pc-135628,9,"Racing, Action",2012,10,30
Great,WWE '13,/games/wwe-13/ps3-127917,8.4,Wrestling,2012,10,29
Okay,Street Fighter x Tekken,/games/street-fighter-x-tekken/vita-110720,6.6,Fighting,2012,10,29
Great,WWE '13,/games/wwe-13/xbox-360-127923,8.4,Wrestling,2012,10,29
Good,Chivalry: Medieval Warfare,/games/chivalry-medieval-warfare-142591/pc-75122,7.9,Adventure,2012,10,29
Good,Sonic Jump,/games/sonic-jump-2012/iphone-144482,7.5,Platformer,2012,10,29
Mediocre,F1 Race Stars,/games/f1-race-stars/xbox-360-137846,5.2,Racing,2012,11,13
Amazing,Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/pc-126314,9.3,Shooter,2012,11,13
Mediocre,F1 Race Stars,/games/f1-race-stars/ps3-137849,5.2,Racing,2012,11,13
Mediocre,Midway Arcade Origins,/games/midway-arcade-origins/ps3-143385,5.5,"Action, Compilation",2012,11,13
Mediocre,Midway Arcade Origins,/games/midway-arcade-origins/xbox-360-143382,5.5,"Action, Compilation",2012,11,13
Amazing,Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/xbox-360-126311,9.3,Shooter,2012,11,13
Amazing,Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/ps3-126313,9.3,Shooter,2012,11,13
Okay,When Vikings Attack,/games/when-vikings-attack/ps3-135043,6.5,"Fighting, Action",2012,11,9
Okay,When Vikings Attack,/games/when-vikings-attack/vita-135040,6.5,"Fighting, Action",2012,11,9
Mediocre,"Freakyforms Deluxe: Your Creations, Alive!",/games/freakyforms-deluxe-your-creations-alive/3ds-139655,5,Productivity,2012,11,8
Mediocre,Painkiller: Hell & Damnation,/games/painkiller-hell-and-damnation/pc-136319,5,Shooter,2012,11,7
Great,Transformers Prime,/games/transformers-prime/3ds-130988,8,Action,2012,11,7
Great,Angry Birds Star Wars,/games/star-wars-angry-birds/iphone-144485,8.8,Puzzle,2012,11,7
Good,Farming Simulator 2013,/games/farming-simulator-2013/pc-144241,7.1,Simulation,2012,11,7
Great,Paper Mario: Sticker Star,/games/paper-mario-3ds/3ds-77808,8.3,RPG,2012,11,6
Okay,Lucius,/games/lucius-shiver-games/pc-83378,6,Adventure,2012,11,6
Mediocre,LittleBigPlanet Karting,/games/littlebigplanet-karting/ps3-128163,5,Racing,2012,11,6
Good,Primal Carnage,/games/primal-carnage/pc-60854,7.6,Shooter,2012,11,5
Great,Natural Selection 2,/games/natural-selection-2/pc-904386,8,Shooter,2012,11,5
Okay,Symphonica: Grand Maestro,/games/symphonica-grand-maestro/iphone-141555,6,Music,2012,11,5
